Timestamp,Length,Protocol
1734275086.61289,42,ARP
1734275086.615603,42,ARP
1734275086.631775,42,ARP
1734275086.6743,42,ARP
1734275087.575491,60,STP
1734275089.576443,60,STP
1734275091.578845,60,STP
1734275093.581409,60,STP
1734275095.582793,60,STP
1734275097.584856,60,STP
1734275099.593381,60,STP
1734275101.594586,60,STP
1734275103.597006,60,STP
1734275105.600323,60,STP
1734275107.601047,60,STP
1734275109.604253,60,STP
1734275111.607418,60,STP
1734275113.608524,60,STP
1734275114.676207,74,TCP
1734275114.724113,74,TCP
1734275114.73936,66,TCP
1734275114.739679,2962,DATA
1734275114.740319,2962,DATA
1734275114.740916,2962,DATA
1734275114.741876,2962,DATA
1734275114.742492,2962,DATA
1734275114.785869,66,TCP
1734275114.78587,66,TCP
1734275114.786754,66,TCP
1734275114.790723,66,TCP
1734275114.792918,66,TCP
1734275114.802982,2962,DATA
1734275114.80493,2962,DATA
1734275114.806938,2962,DATA
1734275114.809021,2962,DATA
1734275114.810097,2962,DATA
1734275114.811091,2962,DATA
1734275114.812074,2962,DATA
1734275114.813193,1514,DATA
1734275114.813196,2962,DATA
1734275114.814154,2962,DATA
1734275114.815651,1514,DATA
1734275114.849696,66,TCP
1734275114.853113,66,TCP
1734275114.853115,66,TCP
1734275114.864051,66,TCP
1734275114.864052,66,TCP
1734275114.866494,2962,DATA
1734275114.86654,66,TCP
1734275114.866541,66,TCP
1734275114.868328,2962,DATA
1734275114.870353,2962,DATA
1734275114.870349,66,TCP
1734275114.87035,66,TCP
1734275114.87035,66,TCP
1734275114.870351,66,TCP
1734275114.872842,2962,DATA
1734275114.873696,2962,DATA
1734275114.875814,2962,DATA
1734275114.87925,2962,DATA
1734275114.880672,2962,DATA
1734275114.881164,2962,DATA
1734275114.882362,2962,DATA
1734275114.882796,2962,DATA
1734275114.883996,2962,DATA
1734275114.884575,1514,DATA
1734275114.88487,2962,DATA
1734275114.885865,2962,DATA
1734275114.886887,2962,DATA
1734275114.887826,2962,DATA
1734275114.888724,2962,DATA
1734275114.890651,2962,DATA
1734275114.891769,2962,DATA
1734275114.893432,1514,DATA
1734275114.914151,66,TCP
1734275114.915161,66,TCP
1734275114.917132,66,TCP
1734275114.920661,66,TCP
1734275114.922276,66,TCP
1734275114.923385,66,TCP
1734275114.925627,66,TCP
1734275114.927225,66,TCP
1734275114.929317,2962,DATA
1734275114.929257,66,TCP
1734275114.929258,66,TCP
1734275114.930163,2962,DATA
1734275114.930692,2962,DATA
1734275114.930611,66,TCP
1734275114.932113,2962,DATA
1734275114.932109,66,TCP
1734275114.9322,66,TCP
1734275114.93488,2962,DATA
1734275114.934821,66,TCP
1734275114.934822,66,TCP
1734275114.934823,66,TCP
1734275114.934824,66,TCP
1734275114.935589,2962,DATA
1734275114.936659,2962,DATA
1734275114.936621,66,TCP
1734275114.937151,1514,DATA
1734275114.93755,2962,DATA
1734275114.937613,66,TCP
1734275114.938626,2962,DATA
1734275114.938687,66,TCP
1734275114.93942,2962,DATA
1734275114.939479,66,TCP
1734275114.940519,2962,DATA
1734275114.941503,2962,DATA
1734275114.942414,2962,DATA
1734275114.943374,2962,DATA
1734275114.945003,2962,DATA
1734275114.945392,2962,DATA
1734275114.945995,2962,DATA
1734275114.947113,2962,DATA
1734275114.947916,2962,DATA
1734275114.949008,2962,DATA
1734275114.949925,2962,DATA
1734275114.95093,2962,DATA
1734275114.951969,2962,DATA
1734275114.95241,2962,DATA
1734275114.954273,2962,DATA
1734275114.955357,2962,DATA
1734275114.956309,2962,DATA
1734275114.95728,2962,DATA
1734275114.958226,2962,DATA
1734275114.959239,2962,DATA
1734275114.960552,2962,DATA
1734275114.960895,2962,DATA
1734275114.962341,2962,DATA
1734275114.963224,2962,DATA
1734275114.963621,2962,DATA
1734275114.966843,2962,DATA
1734275114.967172,2962,DATA
1734275114.968226,2962,DATA
1734275114.968999,2962,DATA
1734275114.97015,1514,DATA
1734275114.976404,66,TCP
1734275114.976405,66,TCP
1734275114.976405,66,TCP
1734275114.978273,66,TCP
1734275114.98244,66,TCP
1734275114.98244,66,TCP
1734275114.983452,66,TCP
1734275114.986935,66,TCP
1734275114.986935,66,TCP
1734275114.986936,66,TCP
1734275114.986936,66,TCP
1734275114.988063,66,TCP
1734275114.989356,66,TCP
1734275114.989411,66,TCP
1734275114.991744,2962,DATA
1734275114.99174,66,TCP
1734275114.991741,66,TCP
1734275114.992095,2962,DATA
1734275114.993456,2962,DATA
1734275114.993512,66,TCP
1734275114.993513,66,TCP
1734275114.99428,2962,DATA
1734275114.994338,66,TCP
1734275114.995396,2962,DATA
1734275114.99628,2962,DATA
1734275114.996856,2962,DATA
1734275114.997276,2962,DATA
1734275114.997762,66,TCP
1734275114.997978,2962,DATA
1734275114.997763,66,TCP
1734275114.999325,2962,DATA
1734275114.999384,66,TCP
1734275114.999823,2962,DATA
1734275114.999931,66,TCP
1734275115.001143,2962,DATA
1734275115.002089,2962,DATA
1734275115.002145,66,TCP
1734275115.002146,66,TCP
1734275115.002147,66,TCP
1734275115.003319,2962,DATA
1734275115.003342,66,TCP
1734275115.005131,2962,DATA
1734275115.00519,66,TCP
1734275115.005191,66,TCP
1734275115.005618,2962,DATA
1734275115.006047,2962,DATA
1734275115.007596,2962,DATA
1734275115.007653,66,TCP
1734275115.007654,66,TCP
1734275115.007654,66,TCP
1734275115.008154,2962,DATA
1734275115.008549,4410,DATA
1734275115.008711,66,TCP
1734275115.009551,2962,DATA
