Timestamp,Length,Protocol,time,time_diff,throughput,delay,jitter
1734274979.385431,60,STP,2024-12-15 15:02:59.385431051,2.000093937,29.998591011178092,2.000093937,-0.002601145999999943
1734274981.386121,60,STP,2024-12-15 15:03:01.386121035,2.000689984,29.989653809353,2.000689984,0.000596047000000155
1734274981.86171,70,ICMPV6,2024-12-15 15:03:01.861710072,0.475589037,147.18589907277448,0.475589037,-1.525100947
1734274983.387795,60,STP,2024-12-15 15:03:03.387794971,1.526084899,39.31629232378637,1.526084899,1.050495862
1734274985.388541,60,STP,2024-12-15 15:03:05.388540983,2.000746012,29.988813992447934,2.000746012,0.474661113
1734274987.41306,60,STP,2024-12-15 15:03:07.413059950,2.024518967,29.636669736371996,2.024518967,0.023772955000000096
1734274989.413895,60,STP,2024-12-15 15:03:09.413894892,2.000834942,29.987481096279254,2.000834942,-0.02368402500000011
1734274991.416871,60,STP,2024-12-15 15:03:11.416871071,2.002976179,29.955423648600465,2.002976179,0.002141237000000018
1734274993.438877,60,STP,2024-12-15 15:03:13.438877106,2.022006035,29.673501938880218,2.022006035,0.019029855999999956
1734274995.440141,60,STP,2024-12-15 15:03:15.440140963,2.001263857,29.981054117443144,2.001263857,-0.02074217799999989
1734274997.439427,60,STP,2024-12-15 15:03:17.439426899,1.999285936,30.010714785521305,1.999285936,-0.00197792100000016
1734274999.44081,60,STP,2024-12-15 15:03:19.440809965,2.001383066,29.979268346622458,2.001383066,0.0020971299999998916
1734275001.452731,60,STP,2024-12-15 15:03:21.452730894,2.011920929,29.822245564005463,2.011920929,0.010537863000000147
1734275003.446155,60,STP,2024-12-15 15:03:23.446155071,1.993424177,30.098962725683847,1.993424177,-0.018496751999999894
1734275005.447772,60,STP,2024-12-15 15:03:25.447772026,2.001616955,29.975765268235353,2.001616955,0.008192777999999734
1734275007.449129,60,STP,2024-12-15 15:03:27.449129105,2.001357079,29.979657618109638,2.001357079,-0.0002598759999998812
1734275009.451212,60,STP,2024-12-15 15:03:29.451211929,2.002082824,29.96879014232031,2.002082824,0.0007257449999999999
1734275011.457498,60,STP,2024-12-15 15:03:31.457498074,2.006286145,29.906003263557405,2.006286145,0.004203320999999871
1734275013.468638,60,STP,2024-12-15 15:03:33.468637943,2.011139869,29.83382753474716,2.011139869,0.00485372400000017
1734275015.470343,60,STP,2024-12-15 15:03:35.470343113,2.00170517,29.97444423845895,2.00170517,-0.009434698999999824
1734275017.471915,60,STP,2024-12-15 15:03:37.471915007,2.001571894,29.976440106827358,2.001571894,-0.00013327600000012652
1734275019.475012,60,STP,2024-12-15 15:03:39.475012064,2.003097057,29.953615971989315,2.003097057,0.0015251630000001626
1734275021.475042,60,STP,2024-12-15 15:03:41.475042105,2.000030041,29.99954939176836,2.000030041,-0.0030670160000001445
1734275023.484333,60,STP,2024-12-15 15:03:43.484333038,2.009290933,29.86128042215179,2.009290933,0.00926089199999991
1734275025.478314,60,STP,2024-12-15 15:03:45.478313923,1.993980885,30.090559268325183,1.993980885,-0.01531004799999991
1734275027.482332,60,STP,2024-12-15 15:03:47.482331991,2.004018068,29.939849823749192,2.004018068,0.010037183000000116
1734275029.482385,60,STP,2024-12-15 15:03:49.482384920,2.000052929,29.999206086010535,2.000052929,-0.003965138999999951
1734275031.072634,70,ICMPV6,2024-12-15 15:03:51.072633982,1.590249062,44.018262090319034,1.590249062,-0.40980386700000015
1734275031.483672,60,STP,2024-12-15 15:03:51.483671904,0.411037922,145.97193297410647,0.411037922,-1.17921114
1734275033.488326,60,STP,2024-12-15 15:03:53.488326073,2.004654169,29.930349547488454,2.004654169,1.5936162470000002
1734275035.489864,60,STP,2024-12-15 15:03:55.489864111,2.001538038,29.976947158073443,2.001538038,-0.0031161310000000775
1734275037.491659,60,STP,2024-12-15 15:03:57.491658926,2.001794815,29.973101913544525,2.001794815,0.00025677699999970827
1734275039.494467,60,STP,2024-12-15 15:03:59.494467020,2.002808094,29.95793764751981,2.002808094,0.0010132790000003666
1734275041.496785,60,STP,2024-12-15 15:04:01.496784925,2.002317905,29.965271673480842,2.002317905,-0.0004901890000001963
1734275043.5034,60,STP,2024-12-15 15:04:03.503400087,2.006615162,29.901099690783656,2.006615162,0.004297257000000165
1734275045.504205,60,STP,2024-12-15 15:04:05.504204988,2.000804901,29.98793134203743,2.000804901,-0.00581026100000015
1734275047.516939,60,STP,2024-12-15 15:04:07.516938925,2.012733937,29.81019939944501,2.012733937,0.01192903600000017
1734275049.527216,60,STP,2024-12-15 15:04:09.527215958,2.010277033,29.846632585987468,2.010277033,-0.002456904000000204
1734275051.528288,60,STP,2024-12-15 15:04:11.528287888,2.00107193,29.983929663138095,2.00107193,-0.00920510299999977
1734275053.529695,60,STP,2024-12-15 15:04:13.529695033,2.001407145,29.978907664986878,2.001407145,0.0003352149999997778
1734275055.530507,60,STP,2024-12-15 15:04:15.530507088,2.000812055,29.98782411874263,2.000812055,-0.0005950900000000203
1734275057.532152,60,STP,2024-12-15 15:04:17.532151936,2.001644848,29.975347554762617,2.001644848,0.0008327930000002759
1734275059.535308,60,STP,2024-12-15 15:04:19.535307883,2.003155947,29.95273537732207,2.003155947,0.0015110990000000157
1734275061.53638,60,STP,2024-12-15 15:04:21.536380053,2.00107217,29.983926066994375,2.00107217,-0.0020837770000001754
1734275063.538476,60,STP,2024-12-15 15:04:23.538475990,2.002095937,29.968593857647893,2.002095937,0.0010237669999999532
1734275065.540278,60,STP,2024-12-15 15:04:25.540277958,2.001801968,29.972994811242984,2.001801968,-0.000293968999999894
